subjID	trial	choice	RT
6	8	1	0.4826700000558049
6	9	1	0.37517999997362494
6	13	1	0.5915099999401718
6	16	1	0.4938950000796467
6	19	1	0.31649999995715916
6	22	1	0.5983499998692423
6	25	2	0.34852999984286726
6	26	2	0.6333349999040365
6	27	2	0.4215550001244992
6	32	1	0.5587400000076741
6	40	2	0.7723550000227988
6	44	1	0.5792699998710304
6	46	1	0.47242000000551343
6	48	1	0.5253550000488758
6	51	1	0.32596000004559755
6	53	1	0.4752299999818206
6	54	1	0.5625249999575317
6	56	1	0.39044500002637506
6	57	1	0.3040599999949336
6	60	1	0.6347799999639392
6	65	1	0.6360599999316037
6	68	1	0.8801349999848753
6	72	1	0.8118250002153218
6	76	1	0.5795499999076128
6	80	1	0.6858349998947233
6	85	1	0.8875949999783188
